70,2
0.4375,0.4375,0.75,0.75,0.75,0.625,0.3125
0.4375,0.5,0.6875,0.5,0.625,0.625,0.625
0.5,0.4375,0.625,0.6875,0.5625,0.625,0.6875
0.4375,0.4375,0.75,0.6875,0.6875,0.625,0.625
0.4375,0.6875,0.75,0.4375,0.625,0.625,0.625
60,2
0.3125,0.6875,0.6875,0.625,0.75,0.6875,0.5625
0.5,0.6875,0.75,0.8125,0.75,0.6875,0.75
0.4375,0.375,0.4375,0.6875,0.6875,0.625,0.625
0.625,0.625,0.6875,0.6875,0.75,0.625,0.75
0.4375,0.5625,0.6875,0.75,0.8125,0.6875,0.75
50,2
0.4375,0.8125,0.6875,0.5625,0.625,0.625,0.6875
0.4375,0.75,0.75,0.4375,0.625,0.6875,0.625
0.4375,0.6875,0.6875,0.625,0.6875,0.625,0.8125
0.625,0.6875,0.8125,0.75,0.6875,0.625,0.625
0.5,0.625,0.625,0.6875,0.8125,0.625,0.625
40,2
0.4375,0.75,0.8125,0.6875,0.625,0.625,0.6875
0.4375,0.6875,0.6875,0.5625,0.625,0.625,0.6875
0.5625,0.75,0.75,0.625,0.625,0.625,0.625
0.6875,0.6875,0.6875,0.75,0.6875,0.625,0.6875
0.5,0.5625,0.6875,0.75,0.6875,0.625,0.6875
30,2
0.6875,0.75,0.6875,0.625,0.625,0.625,0.8125
0.625,0.625,0.8125,0.5625,0.6875,0.6875,0.625
0.6875,0.4375,0.625,0.75,0.6875,0.6875,0.8125
0.375,0.75,0.4375,0.5625,0.75,0.625,0.25
0.4375,0.75,0.4375,0.8125,0.625,0.6875,0.625
20,2
0.375,0.6875,0.4375,0.25,0.625,0.75,0.8125
0.6875,0.625,0.6875,0.8125,0.625,0.625,0.8125
0.5,0.75,0.4375,0.8125,0.625,0.6875,0.625
0.4375,0.5625,0.75,0.625,0.6875,0.625,0.25
0.4375,0.6875,0.25,0.6875,0.625,0.625,0.8125
10,2
0.375,0.75,0.3125,0.75,0.75,0.8125,0.9375
0.4375,0.4375,0.4375,0.625,0.6875,0.75,0.875
0.4375,0.6875,0.5,0.6875,0.6875,0.625,0.4375
0.4375,0.6875,0.5625,0.6875,0.6875,0.6875,0.25
0.75,0.4375,0.4375,0.625,0.625,0.6875,0.8125
70,3
0.1875,0.1875,0.375,0.4375,0.375,0.625,0.6875
0.125,0.125,0.0625,0.4375,0.625,0.625,0.625
0.125,0.0625,0.4375,0.0625,0.4375,0.6875,0.6875
0.125,0.5625,0.375,0.4375,0.1875,0.625,0.625
0.3125,0.4375,0.5625,0.375,0.375,0.6875,0.6875
60,3
0.1875,0.5,0.4375,0.0625,0.6875,0.6875,0.5
0.25,0.3125,0.4375,0.375,0.0625,0.6875,0.625
0.1875,0.0625,0.0625,0.375,0.625,0.6875,0.6875
0.125,0.4375,0.4375,0.625,0.3125,0.6875,0.625
0.1875,0.125,0.5,0.4375,0.5,0.625,0.625
50,3
0.1875,0.5,0.375,0.3125,0.625,0.6875,0.5625
0.125,0.0625,0.4375,0.375,0.5625,0.6875,0.625
0.1875,0.4375,0.5,0.4375,0.5625,0.625,0.5625
0.1875,0.5,0.5625,0.0625,0.6875,0.625,0.625
0.1875,0.375,0.375,0.5,0.625,0.625,0.6875
40,3
0.0625,0.375,0.625,0.625,0.625,0.625,0.6875
0.125,0.5,0.4375,0.375,0.6875,0.625,0.625
0.3125,0.4375,0.0625,0.625,0.625,0.625,0.625
0.125,0.5625,0.375,0.4375,0.25,0.625,0.625
0.125,0.0625,0.25,0.4375,0.6875,0.6875,0.625
30,3
0.125,0.3125,0.375,0.375,0.6875,0.6875,0.6875
0.5,0.4375,0.4375,0.4375,0.625,0.1875,0.125
0.0625,0.375,0.375,0.5625,0.625,0.6875,0.5625
0.4375,0.5,0.375,0.375,0.625,0.6875,0.6875
0.125,0.4375,0.5,0.3125,0.5625,0.5625,0.625
20,3
0.125,0.375,0.5625,0.5625,0.625,0.6875,0.125
0.5,0.3125,0.0625,0.3125,0.6875,0.625,0.625
0.0625,0.25,0.3125,0.375,0.5625,0.5625,0.6875
0.0625,0.4375,0.375,0.6875,0.625,0.625,0.625
0.125,0.125,0.1875,0.625,0.6875,0.6875,0.6875
10,3
0.5625,0.0625,0.125,0.625,0.6875,0.6875,0.3125
0.1875,0.4375,0.4375,0.3125,0.0625,0.6875,0.625
0.0625,0.0625,0.1875,0.625,0.625,0.625,0.6875
0.5,0.4375,0.0625,0.625,0.625,0.6875,0.1875
0.0625,0.0625,0.0625,0.625,0.6875,0.625,0.6875
